string,string,string,string,string,string,string
id,author_id,title,content,yunlv_rule,author,dynasty
244373,9403,頌古十首  其三,東村王老夜燒錢，鼻孔依稀露半邊。|武帝求仙求不得，王喬端坐却昇天。,平平仄仄仄平平，仄仄平平仄仄平。|仄仄平平平仄仄，平平平仄仄平平。,釋法薰,S
244374,9403,頌古十首  其四,百千諸佛在何居，黄鶴樓詩錦不如。|問汝秀才題也未，一篇題取莫躊躇。,仄平平仄仄平平，平仄平平仄仄平。|仄仄仄平平仄仄，仄平仄仄仄平平。,釋法薰,S
244375,9403,頌古十首  其五,萬法歸一一何歸，海口難酬這一問。|不得青州一領衫，幾乎喪却窮性命。,仄仄平仄仄平平，仄仄○平？仄仄。|仄仄平平仄仄平，仄平○仄平仄仄。,釋法薰,S
244376,9403,頌古十首  其六,天地根元與我同，撥波求水謾勞功。|時人見此花如夢，坐斷須彌信不通。,平仄平平仄仄平，仄平平仄仄平平。|平平仄仄平平仄，仄仄平平仄仄平。,釋法薰,S
244377,9403,頌古十首  其七,冬來底事要商量，向道京師出大黄。|多少病貓餐死鼠，日中擡首眼無光。,平平仄仄仄平平，仄仄平平仄仄平。|平仄仄平平仄仄，仄平平仄仄平平。,釋法薰,S
244378,9403,頌古十首  其八,無賓主話意深深，流落叢林古到今。|火冷灰寒口挂壁，衲僧凍死不知心。,平平仄仄仄平平，平仄平平仄仄平。|仄仄平平仄仄仄，仄平仄仄仄平平。,釋法薰,S
244379,9403,頌古十首  其九,安居三月不論玄，水牯朝昏痛著鞭。|拽脫鼻繩無覓處，山童走得脚皮穿。,平平仄仄仄平平，仄仄平平仄仄平。|仄仄仄平平仄仄，平平仄仄仄平平。,釋法薰,S
244380,9403,頌古十首  其一○,曾到未到俱喫茶，爲君抉出眼中花。|犀因翫月紋生角，象被雷驚花入牙。,平仄仄仄平仄仄，平平仄仄仄平平。|平平仄仄平平仄，仄仄平平平仄平。,釋法薰,S
244381,9403,偈頌十五首  其一,莫行心處路，不挂本來衣。|何須更恁麽，切忌未生時。,仄○平仄仄，仄仄仄平○。|平平○仄○，仄仄仄平平。,釋法薰,S
244382,9403,偈頌十五首  其二,床窄先卧，粥稀後坐。|耳聵要聲高，眼昏宜字大。,平仄平仄，仄平仄仄。|仄仄仄平平，仄平平仄仄。,釋法薰,S
244383,9403,偈頌十五首  其三,以大圓覺，爲我伽藍。|望雲上樹，身心安居。|平等性智，熟睡寐語。,仄仄平仄，平仄平平。|仄平仄仄，平平平平。|平仄仄仄，仄仄仄仄。,釋法薰,S
244384,9403,偈頌十五首  其四,飛來峰高攀不上，冷泉水深飲不竭。|衲僧到此擬奚爲，盡力神疲好休歇。,平平平平平仄仄，仄平仄○仄仄仄。|仄平仄仄仄平平，仄仄平平仄平仄。,釋法薰,S
244385,9403,偈頌十五首  其五,透骨霜風入戶庭，日南長至又逢迎。|衲僧不解論時節，只麽堆堆過此生。,仄仄平平仄仄平，仄平仄仄仄平平。|仄平仄仄平平仄，仄仄平平仄仄平。,釋法薰,S
244386,9403,偈頌十五首  其六,烏兔東西疾，一年時序畢。|竇八布衫穿，烏龜眼睛赤。,平仄平平仄，仄平平仄仄。|仄仄仄平○，平平仄○仄。,釋法薰,S
244387,9403,偈頌十五首  其七,以大圓覺，爲我伽藍。|頭上著枷，脚下著杻。|身心安居，平等性智。|困魚止瀝，病鳥栖蘆。,仄仄平仄，平仄平平。|平仄仄平，仄仄仄仄。|平平平平，平仄仄仄。|仄平仄仄，仄仄平平。,釋法薰,S
244388,9403,偈頌十五首  其八,保福借水獻花，這僧白日迷路。|南山門下，總是粗心底。|只是不敢說著，小慈妨大慈。,仄仄仄仄○平，？平仄仄平仄。|平平平仄，仄仄平平仄。|仄仄仄仄仄仄，仄平○仄平。,釋法薰,S
244389,9403,偈頌十五首  其九,洞山前施妙略，這僧暗透重關。|若不得後著，前話也難圓。|將軍但有嘉聲在，不得封侯也是關。,仄平平仄仄仄，？平仄仄○平。|仄仄仄仄仄，平仄仄○平。|○平仄仄平平仄，仄仄○平仄仄平。,釋法薰,S
244390,9403,偈頌十五首  其一○,趙老應機，如風吹水。|第一座香烟起，馿年夢見汗臭氣。,仄仄○平，○平○仄。|仄仄仄平平仄，平平仄仄仄仄仄。,釋法薰,S
244391,9403,偈頌十五首  其一一,夏末秋初萬萬千，石頭路滑脚皮穿。|這僧劍刃翻身疾，也被雲門索飯錢。,仄仄平平仄仄平，仄平仄仄仄平平。|平平仄仄平平仄，仄仄平平仄仄平。,釋法薰,S
244392,9403,偈頌十五首  其一二,吾家那事苦無多，不在頻搜故紙籮。|未解語言先作賦，却參鍾阜問如何。,平平仄仄仄平平，仄仄平平仄仄平。|仄仄仄平平仄仄，仄平平仄仄平平。,釋法薰,S
244393,9403,偈頌十五首  其一三,大海波濤湧，于江水逆流。|龍王宮殿裡，不見一人遊。,仄仄平平仄，平平仄仄平。|平平平仄仄，仄仄仄平平。,釋法薰,S
244394,9403,偈頌十五首  其一四,夫子不識字，達磨不會禪。|御樓看射獵，不是刈茅田。,平仄仄仄仄，仄平仄仄平。|仄平平仄仄，仄仄仄平平。,釋法薰,S
244395,9403,偈頌十五首  其一五,解用不須雙刃劍，延齡何必九還丹。|尉遲□不在家死，獅子那能食兔錢。,仄仄仄平平仄仄，平平平仄仄平平。|仄平仄仄仄平仄，平仄仄平仄仄平。,釋法薰,S
244396,9403,出山相贊  其一,未出山時，四方風悄悄。|纔出山來，平地洪波湧。|箇般醜舉止，邈得將何用。|也好長時展起，隨分爇三錢兜樓香，薰他鼻孔。,仄仄平平，仄平平仄仄。|平仄平平，平仄平平仄。|仄平仄仄仄，仄仄○平仄。|仄仄○平仄仄，平○仄○○平平平，平平仄仄。,釋法薰,S
